,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,lng,lat,Location,PdId,zip_code,18-24 Total,18-24 Less than high school graduate,18-24 High school graduate,18-24 Some college or associate's degree,18-24 Bachelor's degree or higher,25 Total,25 Less than 9th grade,25 9th to 12th grade,25 High school graduate,"25 Some college, no degree",25 Associate's degree,25 Bachelor's degree,25 Graduate or professional degree,Population 16 years and over,In labor force,Civilian labor force,Employed,Unemployed,Armed Forces,Not in labor force,Median household income,Mean household income,Median family income,Mean family income,Per capita income,Median nonfamily income,Mean nonfamily income,Median earnings for workers,Civilian noninstitutionalized population,With health insurance coverage,No health insurance coverage
33,180357898,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,05/13/2018,23:10,SOUTHERN,NONE,6TH ST / MINNA ST,-122.40816295385729,37.780534538527796,POINT (-122.40816295385729 37.780534538527796),18035789807021,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
34,180357694,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,05/13/2018,20:15,SOUTHERN,NONE,6TH ST / CLEMENTINA ST,-122.40616669139584,37.77894341050976,POINT (-122.40616669139584 37.77894341050976),18035769464070,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
35,180357644,ASSAULT,BATTERY,Sunday,05/13/2018,19:48,SOUTHERN,"ARREST, BOOKED",300 Block of 12TH ST,-122.41343139741369,37.77014816722694,POINT (-122.41343139741369 37.77014816722694),18035764404134,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
36,180357644,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,05/13/2018,19:48,SOUTHERN,"ARREST, BOOKED",300 Block of 12TH ST,-122.41343139741369,37.77014816722694,POINT (-122.41343139741369 37.77014816722694),18035764419090,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
37,180357440,KIDNAPPING,"ATTEMPTED KIDNAPPING, JUVENILE VICTIM",Sunday,05/13/2018,18:17,MISSION,"ARREST, BOOKED",1300 Block of NATOMA ST,-122.41840887121592,37.767548446464545,POINT (-122.41840887121592 37.76754844646455),18035744015022,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
38,180357440,ASSAULT,WILLFUL CRUELTY TO CHILD,Sunday,05/13/2018,18:17,MISSION,"ARREST, BOOKED",1300 Block of NATOMA ST,-122.41840887121592,37.767548446464545,POINT (-122.41840887121592 37.76754844646455),18035744015100,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
39,180357440,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,05/13/2018,18:17,MISSION,"ARREST, BOOKED",1300 Block of NATOMA ST,-122.41840887121592,37.767548446464545,POINT (-122.41840887121592 37.76754844646455),18035744062050,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
40,180357309,NON-CRIMINAL,IMPOUNDED VEHICLE,Sunday,05/13/2018,17:47,SOUTHERN,NONE,0 Block of HARRIET ST,-122.40696994408712,37.778661794390175,POINT (-122.40696994408712 37.77866179439018),18035730907053,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
41,180357224,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,05/13/2018,17:21,MISSION,"ARREST, BOOKED",1900 Block of MISSION ST,-122.4198145938115,37.76584272133717,POINT (-122.4198145938115 37.765842721337165),18035722416710,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
42,180357224,WARRANTS,WARRANT ARREST,Sunday,05/13/2018,17:21,MISSION,"ARREST, BOOKED",1900 Block of MISSION ST,-122.4198145938115,37.76584272133717,POINT (-122.4198145938115 37.765842721337165),18035722463010,94103,1614,169,329,506,610,23049,1891,1638,3521,3848,1171,7190,3790,24865,16116,16061,15299,762,55,8749,49052.0,102297,59868,109758,55807,44853,97622,50216,26636,24626,2010
