IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
180358034,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS,Monday,05/14/2018,01:50,TARAVAL,"ARREST, BOOKED",19TH AV / SLOAT BL,-122.47510200629827,37.734623708357,POINT (-122.47510200629827 37.734623708357),18035803465060
180358012,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Monday,05/14/2018,01:27,SOUTHERN,"ARREST, BOOKED",500 Block of STEVENSON ST,-122.41079391548197,37.780832063095986,POINT (-122.41079391548197 37.780832063095986),18035801212080
180358012,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,05/14/2018,01:27,SOUTHERN,"ARREST, BOOKED",500 Block of STEVENSON ST,-122.41079391548197,37.780832063095986,POINT (-122.41079391548197 37.780832063095986),18035801216100
180358012,OTHER OFFENSES,PROBATION VIOLATION,Monday,05/14/2018,01:27,SOUTHERN,"ARREST, BOOKED",500 Block of STEVENSON ST,-122.41079391548197,37.780832063095986,POINT (-122.41079391548197 37.780832063095986),18035801226170
180358028,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Monday,05/14/2018,01:19,NORTHERN,NONE,100 Block of FELL ST,-122.42033209959268,37.77620757682619,POINT (-122.42033209959268 37.77620757682619),18035802805071
180357989,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,05/14/2018,01:03,SOUTHERN,"ARREST, BOOKED",MARKET ST / 6TH ST,-122.41029351968982,37.78223058700358,POINT (-122.41029351968982 37.78223058700358),18035798965010
180357989,OTHER OFFENSES,RECKLESS DRIVING,Monday,05/14/2018,01:03,SOUTHERN,"ARREST, BOOKED",MARKET ST / 6TH ST,-122.41029351968982,37.78223058700358,POINT (-122.41029351968982 37.78223058700358),18035798965020
180357967,ASSAULT,BATTERY,Monday,05/14/2018,00:04,MISSION,"ARREST, BOOKED",MISSION ST / 22ND ST,-122.41874873352268,37.755437187509735,POINT (-122.41874873352268 37.755437187509735),18035796704134
180358686,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Sunday,05/13/2018,23:53,RICHMOND,NONE,1000 Block of CABRILLO ST,-122.46976870002857,37.775045653944254,POINT (-122.46976870002857 37.775045653944254),18035868664060
180359797,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,05/13/2018,23:30,BAYVIEW,NONE,0 Block of VESTA ST,-122.3999950223809,37.73089146430011,POINT (-122.3999950223809 37.73089146430011),18035979703074
180357882,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Sunday,05/13/2018,23:15,MISSION,"ARREST, BOOKED",24TH ST / YORK ST,-122.40819236737882,37.75285341932685,POINT (-122.40819236737882 37.75285341932685),18035788204138
180357882,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,05/13/2018,23:15,MISSION,"ARREST, BOOKED",24TH ST / YORK ST,-122.40819236737882,37.75285341932685,POINT (-122.40819236737882 37.75285341932685),18035788206152
180357898,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,05/13/2018,23:10,SOUTHERN,NONE,6TH ST / MINNA ST,-122.40816295385729,37.780534538527796,POINT (-122.40816295385729 37.780534538527796),18035789807021
180360001,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Sunday,05/13/2018,22:30,SOUTHERN,NONE,300 Block of 3RD ST,-122.3984724160002,37.783342091672075,POINT (-122.3984724160002 37.783342091672075),18036000105153
180357848,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,05/13/2018,22:06,TARAVAL,NONE,300 Block of STRATFORD DR,-122.4727461204186,37.71863054933365,POINT (-122.4727461204186 37.71863054933365),18035784864070
180357917,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,05/13/2018,22:03,MISSION,"ARREST, BOOKED",300 Block of POTRERO AV,-122.40754490645249,37.76511929519941,POINT (-122.40754490645249 37.76511929519941),18035791762050
180357951,ASSAULT,THREATS AGAINST LIFE,Sunday,05/13/2018,22:00,INGLESIDE,NONE,500 Block of ROCKDALE DR,-122.44959165889178,37.73992605563308,POINT (-122.44959165889178 37.73992605563308),18035795119057
180358169,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,05/13/2018,22:00,NORTHERN,NONE,800 Block of EDDY ST,-122.42166708607135,37.782841984813125,POINT (-122.42166708607135 37.782841984813125),18035816906243
180357810,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Sunday,05/13/2018,21:55,BAYVIEW,"ARREST, BOOKED",800 Block of MISSOURI ST,-122.39556536014139,37.75633027490241,POINT (-122.39556536014139 37.75633027490241),18035781012080
